company,individual,role,start_date,end_date,is_current,is_leadership,littlesis_person_id,littlesis_company_id,company_matched_name
Coal,Roger Thomas Williams,Vice President - Sales,,,,True,64261,794,Massey Energy
Coal,Michael Dale Bauersachs,Vice President - Planning,,,,True,64260,794,Massey Energy
Coal,David Williams Owings,Controller,,,True,False,64259,794,Massey Energy
Coal,John M Poma,VP - Chief Admin Officer,,,True,True,64258,794,Massey Energy
Coal,Mark Allen Clemens,SVP - Group Operations,,,True,True,64257,794,Massey Energy
Coal,Steve Edgar Sears,"VP, Sales & Marketing",2008-12-00,,,True,64256,794,Massey Energy
Coal,Jeffrey Morgan Gillenwater,VP - Human Resources,2009-01-00,,,True,64255,794,Massey Energy
Coal,Martha R Seger,Director,,,False,True,10552,794,Massey Energy
Coal,Daniel S Loeb,Director,,,False,True,10551,794,Massey Energy
Coal,William R Grant,Director,,,False,True,5776,794,Massey Energy
Coal,H Drexel Short Jr,SVP (Group Operations),,,True,True,10550,794,Massey Energy
Coal,Richard Randolph Grinnan,Secretary,,,True,False,10546,794,Massey Energy
Coal,Richard Randolph Grinnan,Vice President,,,True,True,10546,794,Massey Energy
Coal,M Shane Harvey,General Counsel,,,True,False,10545,794,Massey Energy
Coal,M Shane Harvey,Vice President,,,True,True,10545,794,Massey Energy
Coal,John Christopher Adkins,SVP,,,True,True,10542,794,Massey Energy
Coal,John Christopher Adkins,Chief Operating Officer,,,True,True,10542,794,Massey Energy
Coal,Jeffrey M Jarosinski,Vice President,,,True,True,10541,794,Massey Energy
Coal,Jeffrey M Jarosinski,Chief Compliance Officer,,,True,True,10541,794,Massey Energy
Coal,Don Blankenship,President,,,True,True,10540,794,Massey Energy
Coal,Don Blankenship,CEO,,,True,True,10540,794,Massey Energy
Coal,Eric Brian Tolbert,Chief Financial Officer,,,True,True,10539,794,Massey Energy
Coal,Eric Brian Tolbert,Vice President,,,True,True,10539,794,Massey Energy
Coal,Baxter F Phillips Jr,Executive Vice President,,,True,True,10536,794,Massey Energy
Coal,Baxter F Phillips Jr,Chief Administrative Officer,,,True,True,10536,794,Massey Energy
Coal,Stephen L Miller,President & CEO,1994-00-00,2012-00-00,False,True,230464,44878,American Coalition for Clean Coal Electricity
Coal,Michael J Ward,Board Member,,,True,True,4482,44878,American Coalition for Clean Coal Electricity
Coal,Mike Duncan,President & CEO,2012-09-10,,True,True,68746,44878,American Coalition for Clean Coal Electricity
Coal,Milton Catelin,Chief Executive,2005-01-01,,False,True,172179,169755,World Coal Association
Coal,Li Dong,Vice Chairman,,,True,True,380170,169755,World Coal Association
Coal,Peter Salditt,Executive Committee Member,,,True,True,380172,169755,World Coal Association
Coal,Graham Chapman,Executive Committee Member,,,True,True,380173,169755,World Coal Association
Coal,Glenn L Kellow,Executive Committee Member,,,True,True,185977,169755,World Coal Association
Coal,Janpeter Bekkering,Executive Committee Member,,,True,True,380171,169755,World Coal Association
Coal,July Ndlovu,Chairman,,,True,True,380168,169755,World Coal Association
Coal,Michelle Manook,Chief Executive Officer,,,True,True,380169,169755,World Coal Association
Coal,Mick Buffier,Vice Chairman,,,True,True,366900,169755,World Coal Association
Coal,Preston Chiaro,Director,2003-00-00,2009-00-00,,True,34976,169755,World Coal Association
Coal,KAI XIA,,,,True,False,384164,220996,Corsa Coal Corp.
Coal,ROBERT C. STURDIVANT,,,,True,False,382862,220996,Corsa Coal Corp.
Coal,BETSY WRIGHT,,,,True,False,385994,220996,Corsa Coal Corp.
Coal,KIM SHICK,,,,True,False,384002,220996,Corsa Coal Corp.
Coal,KIMBERLY A. RUSSIAN,,,,True,False,383999,220996,Corsa Coal Corp.
Coal,ROBERT JAMES SCOTT,,,,True,False,382841,220996,Corsa Coal Corp.
Coal,H Richard Howie,Comptroller,2015-00-00,,False,False,297221,220996,Corsa Coal Corp.
Coal,Peter V Merritts,CEO,2015-00-00,,True,True,303284,220996,Corsa Coal Corp.
Coal,Jason A Prater,Comptroller,2016-00-00,,False,False,306785,220996,Corsa Coal Corp.
Coal,Joseph A Gallo,Executive / Senior Vice President,2013-00-00,,False,True,321128,220996,Corsa Coal Corp.
Coal,Robert Scott,Director,,2015-00-00,,True,331267,220996,Corsa Coal Corp.
Coal,STEVE MEEHAN,,,,True,False,382469,220996,Corsa Coal Corp.
Coal,ROBERT T. BOTTEGAL,,,,True,False,382817,220996,Corsa Coal Corp.
Coal,BOBBY BODENSCHATZ,,,,True,False,385960,220996,Corsa Coal Corp.
Coal,George G Dethlefsen,CEO,2014-00-00,,False,True,291849,220996,Corsa Coal Corp.
Coal,George G. Dethlefson,CEO & Director,,2015-00-00,,True,291850,220996,Corsa Coal Corp.
Coal,Keith D Dyke,CEO,2013-00-00,,False,True,292686,220996,Corsa Coal Corp.
Coal,Michael J Harrison,Director,,,False,True,296118,220996,Corsa Coal Corp.
Coal,Ronald Helton,Vice President / Head,2016-00-00,,False,True,296459,220996,Corsa Coal Corp.
Coal,Kevin M. Harrigan,,,,False,False,386404,220996,Corsa Coal Corp.
Coal,George Stovash Ronald,Director,,,True,True,310849,220996,Corsa Coal Corp.
Coal,Robert Norman Scott,Director,2009-00-00,,False,True,322814,220996,Corsa Coal Corp.
Coal,Daniel Smith,Director,,2015-00-00,,True,331286,220996,Corsa Coal Corp.
Coal,Corbin J Robertson III,Director (Board of Directors),2016-00-00,,False,True,123365,220996,Corsa Coal Corp.
Coal,KEVIN MICHAEL HARRIGAN,,,,True,False,384027,220996,Corsa Coal Corp.
Coal,FRED CUSHMORE,,,,True,False,385019,220996,Corsa Coal Corp.
Coal,CURT MEARS,,,,True,False,385558,220996,Corsa Coal Corp.
Coal,Donald L Evans,Principal & Sr Partner,,2015-00-00,,False,330912,220996,Corsa Coal Corp.
Coal,John Hunter Craig,Director,,,True,True,320747,220996,Corsa Coal Corp.
Coal,Warren S Hawkins,Principal & Sr Partner,,2015-00-00,,False,317931,220996,Corsa Coal Corp.
Coal,Alan Michael De'ath,Director (Board of Directors),2016-00-00,,True,True,291533,220996,Corsa Coal Corp.
Coal,Arthur Einav,Director,,,False,True,292845,220996,Corsa Coal Corp.
Coal,Grant J Schlamp,Vice President / Head,2016-00-00,,,True,309056,283844,Westmoreland Coal Co
Coal,Gary A Kohn,CFO,2016-00-00,,,False,299241,283844,Westmoreland Coal Co
Coal,Dondi Kratzenstein,Vice President / Head,2016-00-00,,,True,299434,283844,Westmoreland Coal Co
Coal,Matthew Levar,Vice President / Head,2016-00-00,,,True,300739,283844,Westmoreland Coal Co
Coal,John Jutila,Vice President / Head,2016-00-00,,,True,298229,283844,Westmoreland Coal Co
Coal,Nathan M Troup,"Chief Accounting Officer, Corporate Controller",,,,True,312114,283844,Westmoreland Coal Co
Coal,Robert C Flexon,Director,2016-00-00,,,True,6177,283844,Westmoreland Coal Co
Coal,Robert C Scharp,,2011-00-00,,,False,64294,283844,Westmoreland Coal Co
Coal,Mary A Hauck,Vice President / Head,2014-00-00,,,True,296236,283844,Westmoreland Coal Co
Coal,Jeffrey Stein,,2016-00-00,,,False,121354,283844,Westmoreland Coal Co
Coal,Jan B Packwood,Director,,,,True,305493,283844,Westmoreland Coal Co
Coal,Joseph Earl Micheletti,Sr Vice President - Coal Operations,,2015-00-00,,True,303396,283844,Westmoreland Coal Co
Coal,Kevin A Paprzycki,Chief Financial Officer and Treasurer,,,,True,305625,283844,Westmoreland Coal Co
Coal,John Schadan,Executive Vice President,,,,True,308937,283844,Westmoreland Coal Co
Coal,Robert A Tinstman,Director,2016-00-00,,,True,311798,283844,Westmoreland Coal Co
Coal,Terry Bachynski,,2014-00-00,,,False,286321,283844,Westmoreland Coal Co
Coal,Thomas G Durham,Vice President - Planning & Engineering,,2015-00-00,,True,292623,283844,Westmoreland Coal Co
Coal,Craig R Mackus,Independent Director,2016-00-00,,,True,64290,283844,Westmoreland Coal Co
Coal,Jennifer M Barton,Vice President / Head,,2015-00-00,,True,286723,283844,Westmoreland Coal Co
Coal,Jennifer S Grafton,"General Counsel, Secretary",,,,False,295286,283844,Westmoreland Coal Co
Coal,Douglas P Kathol,Treasurer & Vice President-Development,,2015-00-00,,True,298444,283844,Westmoreland Coal Co
Coal,Michael G Hutchinson,Independent Director,,,,True,321513,283844,Westmoreland Coal Co
Coal,Gail E Hamilton,Director,,,,True,3176,283844,Westmoreland Coal Co
Coal,Jonathan S Barr,Vice President-Sales & Power-Englewood,,2015-00-00,,True,286661,283844,Westmoreland Coal Co
Coal,Keith E Alessi,Chief Executive Officer & Director General,,2015-00-00,,True,285616,283844,Westmoreland Coal Co
Coal,Ferne Voyzey,Newsletter (QLD),,,True,False,398811,398788,Australian Coal Preparation Society
Coal,Aaron Elsmore,Treasurer (QLD),,,True,False,398807,398788,Australian Coal Preparation Society
Coal,Zoe Bennetts,Membership (QLD),,,True,False,398809,398788,Australian Coal Preparation Society
Coal,Damien Russell,Technical Committee (QLD),,,True,False,398808,398788,Australian Coal Preparation Society
Coal,Andrew Vince,General/Advanced Course Director (QLD),,,True,True,398810,398788,Australian Coal Preparation Society
Coal,Peter Alexander,Secretary (QLD),,,True,False,398806,398788,Australian Coal Preparation Society
Coal,Penny Walker,Committee Member (NSW),,,True,False,398805,398788,Australian Coal Preparation Society
Coal,Damien Good,Tertiary Liaison (NSW),,,True,False,398804,398788,Australian Coal Preparation Society
Coal,Brad Anstess,Events Co-ordinator (NSW),,,True,False,398802,398788,Australian Coal Preparation Society
Coal,Bruce Atkinson,Education (NSW),,,True,False,398801,398788,Australian Coal Preparation Society
