Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Coal Power Il/Comm of Affirmative Leadership,Coal Mining,,,
Coal Processor,Coal Mining,,,
Coal Production,Coal Mining,,,
Coal Properties Trading Co,Coal Mining,,,
Coal Recovery Iv,Coal Mining,,,
Coal Refining & Distribution,Coal Mining,,,
Coal Resources,Coal Mining,,,
Coal Resources LLC,Coal Mining,,,
Coal River Energy,Coal Mining,,,
Coal River Mining,Coal Mining,,,
Coal Run Coal,Coal Mining,,,
Coal Run Coal Corp,Coal Mining,,,
Coal Run Processing Ltd,Coal Mining,,,
Coal Sales,Coal Mining,,,
Coal Sales Consulting,Coal Mining,,,
Coal Science,Coal Mining,,,
Coal Service Group,Coal Mining,,,
Coal Services,Coal Mining,,,
Coal Services Group,Coal Mining,,,
Coal Souring & Sales,Coal Mining,,,
Coal Tech LLC,Coal Mining,,,
Coal Technology Corp,Coal Mining,,,
Coal Trucking,Coal Mining,,,
Coal Ved Methane Foreman,Coal Mining,,,
Coal West Rag PAC,Coal Mining,,,
Coal Yard LLC,Coal Mining,,,
Coal-Water Fuel Services,Coal Mining,,,
Coalbed Technology,Coal Mining,,,
Coalfield Services Inc,Coal Mining,,,
Coalfield Transport,Coal Mining,,,
Coalfillers Inc,Coal Mining,,,
Coalfillersinc,Coal Mining,,,
Coalition For Public S,Coal Mining,,,
Coalogix,Coal Mining,,,
CoalPAC,Coal Mining,,,
Coalson Reach Estate,Coal Mining,,,
Coalstar Industries,Coal Mining,,,
Coalteam,Coal Mining,,,
Coastal Coal,Coal Mining,,,
Coastal Coal Co,Coal Mining,,,
Cobb Coal,Coal Mining,,,
Cobb Coal Co,Coal Mining,,,
Cobra Coal Co,Coal Mining,,,
Colo/Wyo Coal Co,Coal Mining,,,
Colonial Coal,Coal Mining,,,
Colorado Coal Co Lp,Coal Mining,,,
Colorado Cross-Disability Coal,Coal Mining,,,
Colorado Surety Coal,Coal Mining,,,
Colorado Wyoming Coal Co,Coal Mining,,,
Colowyo Coal Co L P,Coal Mining,,,
Colowyo Coal Company L P,Coal Mining,,,
Colowyo Coal Company Lp,Coal Mining,,,
Colwyo Coal,Coal Mining,,,
Comm On Affirmative Leadership-Coal,Coal Mining,,,
Commonwealth Coal,Coal Mining,,,
Commonwealth Coal Marketing,Coal Mining,,,
Commonwealth Coal Sales,Coal Mining,,,
Commonwealth Coal Services,Coal Mining,,,
ComPAC,Coal Mining,,,
ComPAC Inc,Coal Mining,,,
Compass Coal Services,Coal Mining,,,
Compton Coal,Coal Mining,,,
Conn Coal,Coal Mining,,,
Connecticut Coal,Coal Mining,,,
Consol Coal,Coal Mining,,,
Consol Coal Co,Coal Mining,,,
Consol Coal Group,Coal Mining,,,
Consol Employees Credit Union,Coal Mining,,,
Consol Energy,Coal Mining,,,
Consolidated Coal,Coal Mining,,,
Consolidation Coal,Coal Mining,,,
Consolidation Coal Co,Coal Mining,,,
Consulting & Coal Services In,Coal Mining,,,
Consumer Coal Quality Health,Coal Mining,,,
Consumer Health Coal,Coal Mining,,,
Continental Coal,Coal Mining,,,
Contract Coal Mining,Coal Mining,,,
Contura Energy,Coal Mining,,,
Cooney Bros Coal Co,Coal Mining,,,
Cooney Brothers Coal,Coal Mining,,,
Cooney Brothers Coal Co,Coal Mining,,,
Corbin Coal,Coal Mining,,,
Coronado Coal,Coal Mining,,,
Coronado Coal LLC,Coal Mining,,,
Corsa Coal,Coal Mining,,,
Cousa Coal Sales,Coal Mining,,,
Covenant Coal Corp,Coal Mining,,,
Covington Coal Co,Coal Mining,,,
Cravat Coal Co,Coal Mining,,,
Cravets Coal,Coal Mining,,,
Crickmer Company LLC,Coal Mining,,,
Crown Coal,Coal Mining,,,
Culberton Coal,Coal Mining,,,
Cumberland Coal,Coal Mining,,,
Cumberland Creek Coal,Coal Mining,,,
Cumberland Development,Coal Mining,,,
Cumberland Resources,Coal Mining,,,
Cumberland Resources Corp,Coal Mining,,,
Cumberlaund Coal Co,Coal Mining,,,
Curry Ice & Coal,Coal Mining,,,
Cypress-Amax Minerals Co,Coal Mining,,,
Cyprus Amax,Coal Mining,,,
Cyprus Amax Coal,Coal Mining,,,
Cyprus Amax Coal Sales Corp,Coal Mining,,,
Cyprus Mountain Coals,Coal Mining,,,
Czar Coal,Coal Mining,,,
Czar Coal Corp,Coal Mining,,,
D&K Coal,Coal Mining,,,
D&L Coal,Coal Mining,,,
Dags Branch Coal,Coal Mining,,,
Dags Branch Coal Co,Coal Mining,,,
Dan-Ohio Valley Coal,Coal Mining,,,
Dana Mining,Coal Mining,,,
Dealer In Coal Leases,Coal Mining,,,
Deep Vein Coal Co,Coal Mining,,,
Delta Coal,Coal Mining,,,
Delta Coals,Coal Mining,,,
Delta Coals Inc,Coal Mining,,,
Developer/Coal Miner,Coal Mining,,,
Dh Campbell Inc,Coal Mining,,,
Diamond Coal,Coal Mining,,,
Dingess-Rum Coal,Coal Mining,,,
Dir Branch Coal,Coal Mining,,,
Diversified Energy,Coal Mining,,,
Dixie Fuel Co,Coal Mining,,,
Dkrw Advanced Fuels,Coal Mining,,,
Dominion Terminal Associates,Coal Mining,,,
Double M Mining,Coal Mining,,,
Douglas Coal Co,Coal Mining,,,
Drummond Co,Coal Mining,,,
Drummond Coal,Coal Mining,,,
Drummond Coal & Co,Coal Mining,,,
Drummond Coal Co,Coal Mining,,,
Drummond Coal Sales,Coal Mining,,,
Dte Coal Services,Coal Mining,,,
Dtek,Coal Mining,,,
Dunn Coal,Coal Mining,,,
Dunn Coal Co,Coal Mining,,,
